# EoS for In-In(158AGeV) 
# ----------------------
#NB_part      195.000
#s/n_B,Nfb     29.200     2.000
#T,dT,Tc        0.190     0.005     0.160
#chpif13        1.625   -70.000
#chkaf13        2.750    -4.000
#chetaf13       2.880    -2.000
#chbbf,e       10.250     0.965
#N_T        21
# Hadron-Multiplets up to Nb,Nm=          37          39
# Strangeness conservation at T_c with mu_s,gamma_s=   5.99999987E-02   1.00000000    
# EoS of Hot Hadron Gas at constant s/n_B=   29.2000008    
# Number of net baryons in fireball N_b=   195.000000    
# Energy density (e), pressure (p) and entropy density (s) in GeV/fm^3 and 1/fm^3
# Chemical potentials in GeV
# T[GeV]   e     P     s     mu_N  mu_Nbeff mu_pi mu_ka  mu_eta  N_pi_s  N_ka_s  N_eta  N_Btot
 0.0900 0.0703 0.0095  0.614 0.5373 0.7875 0.0897 0.1911 0.2009    822.   176.    38.   203.
 0.0950 0.0856 0.0116  0.731 0.5165 0.7331 0.0864 0.1777 0.1867    823.   176.    38.   204.
 0.1000 0.1031 0.0141  0.861 0.4956 0.6786 0.0824 0.1641 0.1724    824.   175.    38.   204.
 0.1050 0.1229 0.0169  1.004 0.4747 0.6240 0.0777 0.1506 0.1581    824.   175.    37.   204.
 0.1100 0.1449 0.0201  1.161 0.4537 0.5692 0.0725 0.1370 0.1437    824.   175.    37.   204.
 0.1150 0.1694 0.0236  1.331 0.4326 0.5141 0.0667 0.1234 0.1294    824.   175.    37.   205.
 0.1200 0.1962 0.0275  1.514 0.4115 0.4589 0.0605 0.1097 0.1151    824.   175.    37.   205.
 0.1250 0.2254 0.0319  1.710 0.3902 0.4034 0.0539 0.0961 0.1007    824.   175.    37.   205.
 0.1300 0.2572 0.0366  1.919 0.3689 0.3477 0.0469 0.0824 0.0863    824.   175.    37.   205.
 0.1350 0.2915 0.0419  2.141 0.3475 0.2916 0.0395 0.0687 0.0720    823.   175.    38.   205.
 0.1400 0.3285 0.0476  2.376 0.3260 0.2351 0.0319 0.0550 0.0576    823.   176.    38.   205.
 0.1450 0.3682 0.0539  2.625 0.3045 0.1781 0.0241 0.0412 0.0432    823.   176.    38.   206.
 0.1500 0.4109 0.0607  2.888 0.2828 0.1204 0.0162 0.0275 0.0288    823.   176.    38.   206.
 0.1550 0.4566 0.0682  3.166 0.2610 0.0617 0.0081 0.0137 0.0144    823.   177.    38.   206.
 0.1600 0.5053 0.0762  3.457 0.2390 0.0000 0.0000 0.0000 0.0000    824.   177.    39.   205.
 0.1650 0.6270 0.0940  4.171 0.2295 0.0000 0.0000 0.0000 0.0000    838.   180.    40.   208.
 0.1700 0.7750 0.1155  5.015 0.2210 0.0000 0.0000 0.0000 0.0000    851.   183.    41.   211.
 0.1750 0.9539 0.1416  6.009 0.2132 0.0000 0.0000 0.0000 0.0000    865.   185.    41.   214.
 0.1800 1.1694 0.1729  7.176 0.2062 0.0000 0.0000 0.0000 0.0000    878.   186.    42.   217.
 0.1850 1.4274 0.2104  8.537 0.1999 0.0000 0.0000 0.0000 0.0000    892.   187.    43.   220.
 0.1900 1.7348 0.2552 10.119 0.1943 0.0000 0.0000 0.0000 0.0000    906.   188.    43.   224.
